YEAR,WEEK_IN_YEAR,PRICE,EFFECTIVE_VOLUME,AVERAGE_WEIGHT,WEIGHTS_IMPACTING
2010,12,0.91,6434000,6.333333333,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,13,0.91,7970000,6.352380952,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,14,0.94,10286825,6.342857143,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,15,0.95,9488325,6.342857143,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,16,0.97,9888975,6.352380952,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,17,1,11519325,6.361904762,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,18,0.84,12878050,6.39047619,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,19,0.82,14599175,6.4,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,20,1,14226975,6.419047619,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,21,0.99,14498000,6.428571429,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,22,0.98,13619625,6.447619048,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,23,1,17125500,6.457142857,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,24,0.99,14011125,6.476190476,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,25,0.95,17480250,6.476190476,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,26,1.01,17734925,6.485714286,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,27,0.98,18171025,6.495238095,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,28,1.01,19740750,6.504761905,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,29,1.02,14790750,6.504761905,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,30,0.99,18851075,6.514285714,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,31,1.01,20183825,6.514285714,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,32,1.02,19492600,6.514285714,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,33,1.04,18047500,6.523809524,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,34,1.07,17194700,6.533333333,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,35,1.04,15625250,6.542857143,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,36,0.97,17200000,6.552380952,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,37,1,18787700,6.571428571,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,38,0.99,15229625,6.580952381,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,39,1.05,17031300,6.59047619,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,40,1.06,15175500,6.6,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 5, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,41,1.06,9991875,6.6,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,42,1.01,7537975,6.561904762,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 8, 9, 7, 8, 8, 8, 8, 8, 7, 6, 7, 6, 7, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 3, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
